Ad_Spend,Price,Discount,Competitor_Price,Sales,Month,Online_Promotion,Product_Quality_Rating,Ad_Spend_was_missing,Price_was_missing,Discount_was_missing,Store_Type_was_missing,Competitor_Price_was_missing,Online_Promotion_was_missing,Product_Quality_Rating_was_missing,RegionNorth,RegionSouth,RegionEast,RegionWest,Product_CategoryElectronics,Product_CategoryFurniture,Product_CategoryClothing,Store_TypeRetail,Store_TypeOnline
12000.0,350.0,10.0,370.0,52000,1,1,3,False,False,False,False,False,False,False,1,0,0,0,1,0,0,1,0
8000.0,500.0,5.0,520.0,46000,2,0,2,False,False,False,False,False,False,False,0,1,0,0,0,1,0,1,0
6000.0,90.0,15.0,95.0,38000,3,1,1,False,False,False,False,False,False,False,0,0,1,0,0,0,1,0,1
15000.0,340.0,12.0,355.0,55000,4,1,3,False,False,False,False,False,False,False,0,0,0,1,1,0,0,1,0
7000.0,510.0,11.0,499.0,47000,5,0,2,False,False,True,False,False,False,False,1,0,0,0,0,1,0,0,1
5000.0,85.0,10.0,80.0,39000,6,1,1,False,False,False,False,False,True,False,0,1,0,0,0,0,1,1,0
13500.0,360.0,9.0,370.0,54000,7,1,3,False,False,True,False,False,False,False,0,0,1,0,1,0,0,1,0
7500.0,495.0,8.0,237.5,45000,8,0,2,False,False,False,False,True,False,False,0,0,0,1,0,1,0,0,1
5800.0,100.0,5.0,105.0,41000,9,1,1,False,False,False,False,False,True,False,1,0,0,0,0,0,1,1,0
7000.0,345.0,10.0,350.0,53000,10,1,3,True,False,False,True,False,False,False,0,1,0,0,1,0,0,1,0
8200.0,490.0,7.0,500.0,46000,11,0,2,False,False,False,False,False,False,False,0,0,1,0,0,1,0,0,1
6100.0,95.0,12.0,96.0,40000,12,1,1,False,False,False,False,False,False,False,0,0,0,1,0,0,1,1,0
11800.0,355.0,9.0,365.0,52500,1,1,3,False,False,False,False,False,False,False,1,0,0,0,1,0,0,0,1
7800.0,505.0,6.0,515.0,46500,2,0,2,False,False,False,True,False,False,False,0,1,0,0,0,1,0,1,0
6200.0,92.0,14.0,100.0,38200,3,1,3,False,False,False,False,False,False,True,0,0,1,0,0,0,1,1,0
14800.0,335.0,10.0,345.0,55200,4,1,3,False,False,False,False,False,True,False,0,0,0,1,1,0,0,0,1
7300.0,498.0,5.0,215.0,47200,5,0,2,False,False,False,False,True,False,False,1,0,0,0,0,1,0,1,0
5100.0,88.0,9.0,85.0,39200,6,1,1,False,False,False,False,False,False,False,0,1,0,0,0,0,1,1,0
13700.0,362.0,11.0,368.0,54200,7,1,3,False,False,False,True,False,False,False,0,0,1,0,1,0,0,1,0
7600.0,362.0,8.0,505.0,44800,8,0,2,False,True,False,False,False,False,False,0,0,0,1,0,1,0,0,1
