Ad_Spend,Price,Discount,Competitor_Price,Sales,Region,Month,Product_Category,Store_Type,Online_Promotion,Product_Quality_Rating,Ad_Spend_was_missing,Price_was_missing,Discount_was_missing,Store_Type_was_missing,Competitor_Price_was_missing,Online_Promotion_was_missing,Product_Quality_Rating_was_missing
12000.0,350.0,10.0,370.0,52000,North,Jan,Electronics,Retail,Yes,High,False,False,False,False,False,False,False
8000.0,500.0,5.0,520.0,46000,South,Feb,Furniture,Retail,No,Medium,False,False,False,False,False,False,False
6000.0,90.0,15.0,95.0,38000,East,Mar,Clothing,Online,Yes,Low,False,False,False,False,False,False,False
15000.0,340.0,12.0,355.0,55000,West,Apr,Electronics,Retail,Yes,High,False,False,False,False,False,False,False
7000.0,510.0,11.0,499.0,47000,North,May,Furniture,Online,No,Medium,False,False,True,False,False,False,False
5000.0,85.0,10.0,80.0,39000,South,Jun,Clothing,Retail,Yes,Low,False,False,False,False,False,True,False
13500.0,360.0,9.0,370.0,54000,East,Jul,Electronics,Retail,Yes,High,False,False,True,False,False,False,False
7500.0,495.0,8.0,237.5,45000,West,Aug,Furniture,Online,No,Medium,False,False,False,False,True,False,False
5800.0,100.0,5.0,105.0,41000,North,Sep,Clothing,Retail,Yes,Low,False,False,False,False,False,True,False
7000.0,345.0,10.0,350.0,53000,South,Oct,Electronics,Retail,Yes,High,True,False,False,True,False,False,False
8200.0,490.0,7.0,500.0,46000,East,Nov,Furniture,Online,No,Medium,False,False,False,False,False,False,False
6100.0,95.0,12.0,96.0,40000,West,Dec,Clothing,Retail,Yes,Low,False,False,False,False,False,False,False
11800.0,355.0,9.0,365.0,52500,North,Jan,Electronics,Online,Yes,High,False,False,False,False,False,False,False
7800.0,505.0,6.0,515.0,46500,South,Feb,Furniture,Retail,No,Medium,False,False,False,True,False,False,False
6200.0,92.0,14.0,100.0,38200,East,Mar,Clothing,Retail,Yes,High,False,False,False,False,False,False,True
14800.0,335.0,10.0,345.0,55200,West,Apr,Electronics,Online,Yes,High,False,False,False,False,False,True,False
7300.0,498.0,5.0,215.0,47200,North,May,Furniture,Retail,No,Medium,False,False,False,False,True,False,False
5100.0,88.0,9.0,85.0,39200,South,Jun,Clothing,Retail,Yes,Low,False,False,False,False,False,False,False
13700.0,362.0,11.0,368.0,54200,East,Jul,Electronics,Retail,Yes,High,False,False,False,True,False,False,False
7600.0,362.0,8.0,505.0,44800,West,Aug,Furniture,Online,No,Medium,False,True,False,False,False,False,False
